route_id,service_id,trip_id,trip_headsign,shape_id,block_id
18,987,305747:422794:423209,WESTFORT to Mary,3509,423209
3M,987,306058:422795:423214,MEMORIAL to County Park,3563,423214
18,976,309869:422796:423229,WESTFORT to Mary,3509,423229
9,986,307825:422797:423235,JUNOT to Waterfront,3499,423235
3M,986,307719:422798:423188,MEMORIAL to Jumbo Gardens,3559,423188
3C,986,307999:422799:423254,COUNTY PARK to Northwood,3564,423254
13,976,309326:422800:423213,JOHN-JUMBO to County Fair,3513,423213
3M,985,307303:422801:423258,MEMORIAL to City Hall,3518,423258
3J,985,306828:422802:423197,JUMBO GARDENS to Sherwood Dr.,3525,423197
3J,985,306840:422803:423264,JUMBO GARDENS to Airport,3530,423264
3J,985,306849:422804:423244,JUMBO GARDENS to Sherwood Dr.,3525,423244
17,986,307662:422805:423243,CURRENT RIVER to Waterfront,3566,423243
3M,985,307231:422806:423197,MEMORIAL to Airport,3516,423197
1,985,307037:422807:423210,MAINLINE to Waterfront,3522,423210
1,985,307035:422808:423210,MAINLINE to Waterfront,3522,423210
3J,986,308160:422809:423219,JUMBO GARDENS to Airport,3530,423219
1,985,307029:422810:423210,MAINLINE to Waterfront,3522,423210
3J,985,306816:422811:423244,JUMBO GARDENS to Airport,3530,423244
7,985,307167:422812:423268,HUDSON to Waterfront,3458,423268
3C,976,309431:422813:423211,COUNTY PARK to Castlegreen Dr,3528,423211
7,976,309691:422814:423213,HUDSON to Waterfront,3458,423213
3M,987,306054:422815:423256,MEMORIAL to County Park,3563,423256
7,986,307925:422816:423267,HUDSON to Waterfront,3458,423267
3M,987,306108:422817:423207,MEMORIAL to Waterfront,3562,423207
3M,987,306102:422818:423256,MEMORIAL to Northwood,3515,423256
17,986,307653:422819:423235,CURRENT RIVER to Waterfront,3566,423235
17,985,306485:422820:423210,CURRENT RIVER to Waterfront,3566,423210
3M,986,307752:422821:423260,MEMORIAL to Northwood,3520,423260
8,985,307365:422822:423216,JAMES to City Hall via College,3551,423216
7,987,305913:422823:423237,HUDSON to Waterfront,3458,423237
3M,986,307703:422824:423251,MEMORIAL to Jumbo Gardens,3559,423251
3M,986,307710:422825:423260,MEMORIAL to County Park,3560,423260
17,985,306477:422826:423218,CURRENT RIVER to Waterfront,3566,423218
17,985,306508:422827:423210,CURRENT RIVER to Waterfront,3566,423210
3C,986,308008:422828:423230,COUNTY PARK to Northwood,3564,423230
8,986,308450:422829:423193,JAMES to City Hall via College,3551,423193
17,987,305811:422830:423247,CURRENT RIVER to Waterfront,3566,423247
3J,986,308156:422831:423241,JUMBO GARDENS to Airport,3530,423241
3M,987,306066:422832:423207,MEMORIAL to Waterfront,3562,423207
17,976,309819:422833:423208,CURRENT RIVER to Waterfront,3566,423208
2,986,308470:422834:423250,CROSSTOWN to Waterfront,3478,423250
3M,976,309543:422835:423233,MEMORIAL to Waterfront,3562,423233
3C,985,306936:422836:423261,COUNTY PARK to Northwood,3564,423261
13,985,306516:422837:423268,JOHN-JUMBO to County Fair,3513,423268
3M,976,309546:422838:423233,MEMORIAL to Waterfront,3562,423233
